catalogue_key,make,model_group,generation_name,chassis_platform_code,production_start_year,production_end_year,year_basis,scope_note,bg_market_evidence,bg_market_catalogue_source_url,bg_market_context_source_url,technical_source_name,technical_source_url,priority,priority_reason,confidence,local_confirmation_required,source_checked_on
bmw__5-series__e39__e39,BMW,5 Series,E39,E39,1995,2004,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.",Multiple body styles use separate chassis codes. The F07 Gran Turismo requires an explicit body code because its parts differ substantially.,"MEGAPARTS classifies BMW used parts by E/F/G chassis codes. BMW held about 7.4% of Bulgarian used-vehicle registrations in 2025; 3 Series, 5 Series, and X5 appear in the local popular-model context.",https://www.megaparts.bg/products/avtochasti/bmw/3-series-e90-touring-e91,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,BMW Group PressClub - 5 Series history in 2017 launch dossier,https://www.press.bmwgroup.com/ireland/article/detail/T0269296EN/the-new-2017-bmw-5-series-saloon?language=en,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
bmw__5-series__e6x__e60-e61,BMW,5 Series,E6x,E60/E61,2003,2010,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.",Multiple body styles use separate chassis codes. The F07 Gran Turismo requires an explicit body code because its parts differ substantially.,"MEGAPARTS classifies BMW used parts by E/F/G chassis codes. BMW held about 7.4% of Bulgarian used-vehicle registrations in 2025; 3 Series, 5 Series, and X5 appear in the local popular-model context.",https://www.megaparts.bg/products/avtochasti/bmw/3-series-e90-touring-e91,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,BMW Group PressClub - 5 Series history in 2017 launch dossier,https://www.press.bmwgroup.com/ireland/article/detail/T0269296EN/the-new-2017-bmw-5-series-saloon?language=en,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
bmw__5-series__f1x__f10-f11-f07,BMW,5 Series,F1x,F10/F11/F07,2009,2017,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.",Multiple body styles use separate chassis codes. The F07 Gran Turismo requires an explicit body code because its parts differ substantially.,"MEGAPARTS classifies BMW used parts by E/F/G chassis codes. BMW held about 7.4% of Bulgarian used-vehicle registrations in 2025; 3 Series, 5 Series, and X5 appear in the local popular-model context.",https://www.megaparts.bg/products/avtochasti/bmw/3-series-e90-touring-e91,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,BMW Group PressClub - 5 Series history in 2017 launch dossier,https://www.press.bmwgroup.com/ireland/article/detail/T0269296EN/the-new-2017-bmw-5-series-saloon?language=en,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
bmw__5-series__g3x__g30-g31,BMW,5 Series,G3x,G30/G31,2016,2024,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.",Multiple body styles use separate chassis codes. The F07 Gran Turismo requires an explicit body code because its parts differ substantially.,"MEGAPARTS classifies BMW used parts by E/F/G chassis codes. BMW held about 7.4% of Bulgarian used-vehicle registrations in 2025; 3 Series, 5 Series, and X5 appear in the local popular-model context.",https://www.megaparts.bg/products/avtochasti/bmw/3-series-e90-touring-e91,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,BMW Group PressClub - 5 Series history in 2017 launch dossier,https://www.press.bmwgroup.com/ireland/article/detail/T0269296EN/the-new-2017-bmw-5-series-saloon?language=en,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
bmw__x3__e83__e83,BMW,X3,E83,E83,2003,2010,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European X3. M derivatives require separate powertrain, brake, suspension, and exterior fitment.","MEGAPARTS classifies BMW used parts by E/F/G chassis codes. BMW held about 7.4% of Bulgarian used-vehicle registrations in 2025; 3 Series, 5 Series, and X5 appear in the local popular-model context.",https://www.megaparts.bg/products/avtochasti/bmw/3-series-e90-touring-e91,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,BMW Group PressClub - official model and archive material,https://www.press.bmwgroup.com/global,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
bmw__x3__f25__f25,BMW,X3,F25,F25,2010,2017,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European X3. M derivatives require separate powertrain, brake, suspension, and exterior fitment.","MEGAPARTS classifies BMW used parts by E/F/G chassis codes. BMW held about 7.4% of Bulgarian used-vehicle registrations in 2025; 3 Series, 5 Series, and X5 appear in the local popular-model context.",https://www.megaparts.bg/products/avtochasti/bmw/3-series-e90-touring-e91,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,BMW Group PressClub - official model and archive material,https://www.press.bmwgroup.com/global,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
bmw__x3__g01__g01,BMW,X3,G01,G01,2017,2024,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European X3. M derivatives require separate powertrain, brake, suspension, and exterior fitment.","MEGAPARTS classifies BMW used parts by E/F/G chassis codes. BMW held about 7.4% of Bulgarian used-vehicle registrations in 2025; 3 Series, 5 Series, and X5 appear in the local popular-model context.",https://www.megaparts.bg/products/avtochasti/bmw/3-series-e90-touring-e91,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,BMW Group PressClub - official model and archive material,https://www.press.bmwgroup.com/global,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
bmw__x5__e53__e53,BMW,X5,E53,E53,1999,2006,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.",European X5. X5 M and standard models require OE-number and powertrain-level matching.,"MEGAPARTS classifies BMW used parts by E/F/G chassis codes. BMW held about 7.4% of Bulgarian used-vehicle registrations in 2025; 3 Series, 5 Series, and X5 appear in the local popular-model context.",https://www.megaparts.bg/products/avtochasti/bmw/3-series-e90-touring-e91,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,BMW Group PressClub - X5 generation history,https://www.press.bmwgroup.com/global/article/detail/T0239063EN/30-years-of-bmw-all-wheel-drive%3Afrom-the-bmw-325i-%E2%80%9Callrad%E2%80%9D-to-the-bmw-x5-xdrive40e?language=en,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
bmw__x5__e70__e70,BMW,X5,E70,E70,2006,2013,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.",European X5. X5 M and standard models require OE-number and powertrain-level matching.,"MEGAPARTS classifies BMW used parts by E/F/G chassis codes. BMW held about 7.4% of Bulgarian used-vehicle registrations in 2025; 3 Series, 5 Series, and X5 appear in the local popular-model context.",https://www.megaparts.bg/products/avtochasti/bmw/3-series-e90-touring-e91,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,BMW Group PressClub - X5 generation history,https://www.press.bmwgroup.com/global/article/detail/T0239063EN/30-years-of-bmw-all-wheel-drive%3Afrom-the-bmw-325i-%E2%80%9Callrad%E2%80%9D-to-the-bmw-x5-xdrive40e?language=en,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
bmw__x5__f15__f15-f85-x5-m-separate-fitment,BMW,X5,F15,F15 (F85 X5 M separate fitment),2013,2018,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.",European X5. X5 M and standard models require OE-number and powertrain-level matching.,"MEGAPARTS classifies BMW used parts by E/F/G chassis codes. BMW held about 7.4% of Bulgarian used-vehicle registrations in 2025; 3 Series, 5 Series, and X5 appear in the local popular-model context.",https://www.megaparts.bg/products/avtochasti/bmw/3-series-e90-touring-e91,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,BMW Group PressClub - X5 generation history,https://www.press.bmwgroup.com/global/article/detail/T0239063EN/30-years-of-bmw-all-wheel-drive%3Afrom-the-bmw-325i-%E2%80%9Callrad%E2%80%9D-to-the-bmw-x5-xdrive40e?language=en,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
audi__a3__8l__8l,Audi,A3,8L,8L,1996,2003,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European A3. Three-door, Sportback, sedan, and cabriolet body parts must be matched separately. S3 and RS3 are excluded from general compatibility.","MEGAPARTS classifies Audi used parts by identifiers such as 8L/8P/8V and B/C generations. Audi held about 7.1% of Bulgarian used-vehicle registrations in 2025; A3, A4, and A6 are common local used models.",https://www.megaparts.bg/products/avtochasti/audi/a4-avant-b8,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Audi MediaCenter - Audi Tradition/model archive,https://www.audi-mediacenter.com/en,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
audi__a3__8p__8p,Audi,A3,8P,8P,2003,2013,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European A3. Three-door, Sportback, sedan, and cabriolet body parts must be matched separately. S3 and RS3 are excluded from general compatibility.","MEGAPARTS classifies Audi used parts by identifiers such as 8L/8P/8V and B/C generations. Audi held about 7.1% of Bulgarian used-vehicle registrations in 2025; A3, A4, and A6 are common local used models.",https://www.megaparts.bg/products/avtochasti/audi/a4-avant-b8,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Audi MediaCenter - Audi Tradition/model archive,https://www.audi-mediacenter.com/en,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
audi__a3__8v__8v,Audi,A3,8V,8V,2012,2020,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European A3. Three-door, Sportback, sedan, and cabriolet body parts must be matched separately. S3 and RS3 are excluded from general compatibility.","MEGAPARTS classifies Audi used parts by identifiers such as 8L/8P/8V and B/C generations. Audi held about 7.1% of Bulgarian used-vehicle registrations in 2025; A3, A4, and A6 are common local used models.",https://www.megaparts.bg/products/avtochasti/audi/a4-avant-b8,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Audi MediaCenter - Audi Tradition/model archive,https://www.audi-mediacenter.com/en,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
audi__a4__b5__8d,Audi,A4,B5,8D,1994,2001,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","Main A4 range only. S4 and RS4 are excluded from general powertrain, brake, and suspension compatibility. Match sedan, Avant, and cabriolet by type code.","MEGAPARTS classifies Audi used parts by identifiers such as 8L/8P/8V and B/C generations. Audi held about 7.1% of Bulgarian used-vehicle registrations in 2025; A3, A4, and A6 are common local used models.",https://www.megaparts.bg/products/avtochasti/audi/a4-avant-b8,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Audi MediaCenter - A4 history and model archive,https://www.audi-mediacenter.com/en/audi-a4-avant-25,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
audi__a4__b6__8e-8h,Audi,A4,B6,8E/8H,2000,2006,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","Main A4 range only. S4 and RS4 are excluded from general powertrain, brake, and suspension compatibility. Match sedan, Avant, and cabriolet by type code.","MEGAPARTS classifies Audi used parts by identifiers such as 8L/8P/8V and B/C generations. Audi held about 7.1% of Bulgarian used-vehicle registrations in 2025; A3, A4, and A6 are common local used models.",https://www.megaparts.bg/products/avtochasti/audi/a4-avant-b8,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Audi MediaCenter - A4 history and model archive,https://www.audi-mediacenter.com/en/audi-a4-avant-25,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
audi__a4__b7__8e-8h,Audi,A4,B7,8E/8H,2004,2009,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","Main A4 range only. S4 and RS4 are excluded from general powertrain, brake, and suspension compatibility. Match sedan, Avant, and cabriolet by type code.","MEGAPARTS classifies Audi used parts by identifiers such as 8L/8P/8V and B/C generations. Audi held about 7.1% of Bulgarian used-vehicle registrations in 2025; A3, A4, and A6 are common local used models.",https://www.megaparts.bg/products/avtochasti/audi/a4-avant-b8,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Audi MediaCenter - A4 history and model archive,https://www.audi-mediacenter.com/en/audi-a4-avant-25,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
audi__a4__b8__8k,Audi,A4,B8,8K,2007,2016,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","Main A4 range only. S4 and RS4 are excluded from general powertrain, brake, and suspension compatibility. Match sedan, Avant, and cabriolet by type code.","MEGAPARTS classifies Audi used parts by identifiers such as 8L/8P/8V and B/C generations. Audi held about 7.1% of Bulgarian used-vehicle registrations in 2025; A3, A4, and A6 are common local used models.",https://www.megaparts.bg/products/avtochasti/audi/a4-avant-b8,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Audi MediaCenter - A4 history and model archive,https://www.audi-mediacenter.com/en/audi-a4-avant-25,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
audi__a4__b9__8w,Audi,A4,B9,8W,2015,2024,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","Main A4 range only. S4 and RS4 are excluded from general powertrain, brake, and suspension compatibility. Match sedan, Avant, and cabriolet by type code.","MEGAPARTS classifies Audi used parts by identifiers such as 8L/8P/8V and B/C generations. Audi held about 7.1% of Bulgarian used-vehicle registrations in 2025; A3, A4, and A6 are common local used models.",https://www.megaparts.bg/products/avtochasti/audi/a4-avant-b8,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Audi MediaCenter - A4 history and model archive,https://www.audi-mediacenter.com/en/audi-a4-avant-25,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
audi__a6__c5__4b,Audi,A6,C5,4B,1997,2005,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","Main A6 range only. S6, RS6, and Allroad are excluded from general compatibility. Match sedan and Avant by body code.","MEGAPARTS classifies Audi used parts by identifiers such as 8L/8P/8V and B/C generations. Audi held about 7.1% of Bulgarian used-vehicle registrations in 2025; A3, A4, and A6 are common local used models.",https://www.megaparts.bg/products/avtochasti/audi/a4-avant-b8,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Audi MediaCenter - A6 model archive,https://www.audi-mediacenter.com/en/audi-a6-39,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
audi__a6__c6__4f,Audi,A6,C6,4F,2004,2011,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","Main A6 range only. S6, RS6, and Allroad are excluded from general compatibility. Match sedan and Avant by body code.","MEGAPARTS classifies Audi used parts by identifiers such as 8L/8P/8V and B/C generations. Audi held about 7.1% of Bulgarian used-vehicle registrations in 2025; A3, A4, and A6 are common local used models.",https://www.megaparts.bg/products/avtochasti/audi/a4-avant-b8,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Audi MediaCenter - A6 model archive,https://www.audi-mediacenter.com/en/audi-a6-39,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
audi__a6__c7__4g,Audi,A6,C7,4G,2010,2018,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","Main A6 range only. S6, RS6, and Allroad are excluded from general compatibility. Match sedan and Avant by body code.","MEGAPARTS classifies Audi used parts by identifiers such as 8L/8P/8V and B/C generations. Audi held about 7.1% of Bulgarian used-vehicle registrations in 2025; A3, A4, and A6 are common local used models.",https://www.megaparts.bg/products/avtochasti/audi/a4-avant-b8,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Audi MediaCenter - A6 model archive,https://www.audi-mediacenter.com/en/audi-a6-39,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
audi__q5__q5-i__8r,Audi,Q5,Q5 I,8R,2008,2017,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.",Main Q5 range only. SQ5 requires separate powertrain and brake fitment. Second-generation Sportback is excluded.,"MEGAPARTS classifies Audi used parts by identifiers such as 8L/8P/8V and B/C generations. Audi held about 7.1% of Bulgarian used-vehicle registrations in 2025; A3, A4, and A6 are common local used models.",https://www.megaparts.bg/products/avtochasti/audi/a4-avant-b8,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Audi MediaCenter - official model and archive material,https://www.audi-mediacenter.com/en,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
audi__q5__q5-ii__fy,Audi,Q5,Q5 II,FY,2016,2024,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.",Main Q5 range only. SQ5 requires separate powertrain and brake fitment. Second-generation Sportback is excluded.,"MEGAPARTS classifies Audi used parts by identifiers such as 8L/8P/8V and B/C generations. Audi held about 7.1% of Bulgarian used-vehicle registrations in 2025; A3, A4, and A6 are common local used models.",https://www.megaparts.bg/products/avtochasti/audi/a4-avant-b8,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Audi MediaCenter - official model and archive material,https://www.audi-mediacenter.com/en,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
opel__astra__astra-g__t98,Opel,Astra,Astra G,T98,1998,2009,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European Astra. Match hatchback, estate, GTC, and sedan by body code; a shared letter generation does not imply universal compatibility.","MEGAPARTS lists used parts for Astra, Corsa, Insignia, and Zafira by generation. Opel held about 5.1% of 2025 used registrations and ranked second in the MVR-derived fleet data; Astra and Corsa were specifically identified as common models.",https://www.megaparts.bg/products/avtochasti/opel/gt-cabrio,https://www.pariteni.bg/novini/transport/koi-sa-naj-predpochitanite-marki-koli-u-nas-253893,Opel/Stellantis Media - Kadett and Astra generation history,https://www.media.stellantis.com/em-en/opel/press/opel-kadett-and-astra-85-years-as-defining-force-of-compact-class,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
opel__astra__astra-h__a04,Opel,Astra,Astra H,A04,2004,2014,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European Astra. Match hatchback, estate, GTC, and sedan by body code; a shared letter generation does not imply universal compatibility.","MEGAPARTS lists used parts for Astra, Corsa, Insignia, and Zafira by generation. Opel held about 5.1% of 2025 used registrations and ranked second in the MVR-derived fleet data; Astra and Corsa were specifically identified as common models.",https://www.megaparts.bg/products/avtochasti/opel/gt-cabrio,https://www.pariteni.bg/novini/transport/koi-sa-naj-predpochitanite-marki-koli-u-nas-253893,Opel/Stellantis Media - Kadett and Astra generation history,https://www.media.stellantis.com/em-en/opel/press/opel-kadett-and-astra-85-years-as-defining-force-of-compact-class,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
opel__astra__astra-j__p10,Opel,Astra,Astra J,P10,2009,2018,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European Astra. Match hatchback, estate, GTC, and sedan by body code; a shared letter generation does not imply universal compatibility.","MEGAPARTS lists used parts for Astra, Corsa, Insignia, and Zafira by generation. Opel held about 5.1% of 2025 used registrations and ranked second in the MVR-derived fleet data; Astra and Corsa were specifically identified as common models.",https://www.megaparts.bg/products/avtochasti/opel/gt-cabrio,https://www.pariteni.bg/novini/transport/koi-sa-naj-predpochitanite-marki-koli-u-nas-253893,Opel/Stellantis Media - Kadett and Astra generation history,https://www.media.stellantis.com/em-en/opel/press/opel-kadett-and-astra-85-years-as-defining-force-of-compact-class,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
opel__astra__astra-k__b16,Opel,Astra,Astra K,B16,2015,2021,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European Astra. Match hatchback, estate, GTC, and sedan by body code; a shared letter generation does not imply universal compatibility.","MEGAPARTS lists used parts for Astra, Corsa, Insignia, and Zafira by generation. Opel held about 5.1% of 2025 used registrations and ranked second in the MVR-derived fleet data; Astra and Corsa were specifically identified as common models.",https://www.megaparts.bg/products/avtochasti/opel/gt-cabrio,https://www.pariteni.bg/novini/transport/koi-sa-naj-predpochitanite-marki-koli-u-nas-253893,Opel/Stellantis Media - Kadett and Astra generation history,https://www.media.stellantis.com/em-en/opel/press/opel-kadett-and-astra-85-years-as-defining-force-of-compact-class,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
opel__corsa__corsa-c__x01,Opel,Corsa,Corsa C,X01,2000,2006,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European hatchback and van. Vauxhall is treated as an alias, not as a separate make.","MEGAPARTS lists used parts for Astra, Corsa, Insignia, and Zafira by generation. Opel held about 5.1% of 2025 used registrations and ranked second in the MVR-derived fleet data; Astra and Corsa were specifically identified as common models.",https://www.megaparts.bg/products/avtochasti/opel/gt-cabrio,https://www.pariteni.bg/novini/transport/koi-sa-naj-predpochitanite-marki-koli-u-nas-253893,Opel/Stellantis Media - official model and heritage archive,https://www.media.stellantis.com/em-en/opel,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
opel__corsa__corsa-d__s07,Opel,Corsa,Corsa D,S07,2006,2014,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European hatchback and van. Vauxhall is treated as an alias, not as a separate make.","MEGAPARTS lists used parts for Astra, Corsa, Insignia, and Zafira by generation. Opel held about 5.1% of 2025 used registrations and ranked second in the MVR-derived fleet data; Astra and Corsa were specifically identified as common models.",https://www.megaparts.bg/products/avtochasti/opel/gt-cabrio,https://www.pariteni.bg/novini/transport/koi-sa-naj-predpochitanite-marki-koli-u-nas-253893,Opel/Stellantis Media - official model and heritage archive,https://www.media.stellantis.com/em-en/opel,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
opel__corsa__corsa-e__x15,Opel,Corsa,Corsa E,X15,2014,2019,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European hatchback and van. Vauxhall is treated as an alias, not as a separate make.","MEGAPARTS lists used parts for Astra, Corsa, Insignia, and Zafira by generation. Opel held about 5.1% of 2025 used registrations and ranked second in the MVR-derived fleet data; Astra and Corsa were specifically identified as common models.",https://www.megaparts.bg/products/avtochasti/opel/gt-cabrio,https://www.pariteni.bg/novini/transport/koi-sa-naj-predpochitanite-marki-koli-u-nas-253893,Opel/Stellantis Media - official model and heritage archive,https://www.media.stellantis.com/em-en/opel,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
opel__insignia__insignia-a__g09,Opel,Insignia,Insignia A,G09,2008,2017,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European Insignia. Match Grand Sport, Sports Tourer, and Country Tourer body parts separately.","MEGAPARTS lists used parts for Astra, Corsa, Insignia, and Zafira by generation. Opel held about 5.1% of 2025 used registrations and ranked second in the MVR-derived fleet data; Astra and Corsa were specifically identified as common models.",https://www.megaparts.bg/products/avtochasti/opel/gt-cabrio,https://www.pariteni.bg/novini/transport/koi-sa-naj-predpochitanite-marki-koli-u-nas-253893,Opel/Stellantis Media - official model and heritage archive,https://www.media.stellantis.com/em-en/opel,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
opel__insignia__insignia-b__z18,Opel,Insignia,Insignia B,Z18,2017,2022,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European Insignia. Match Grand Sport, Sports Tourer, and Country Tourer body parts separately.","MEGAPARTS lists used parts for Astra, Corsa, Insignia, and Zafira by generation. Opel held about 5.1% of 2025 used registrations and ranked second in the MVR-derived fleet data; Astra and Corsa were specifically identified as common models.",https://www.megaparts.bg/products/avtochasti/opel/gt-cabrio,https://www.pariteni.bg/novini/transport/koi-sa-naj-predpochitanite-marki-koli-u-nas-253893,Opel/Stellantis Media - official model and heritage archive,https://www.media.stellantis.com/em-en/opel,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
opel__zafira__zafira-a__t98,Opel,Zafira,Zafira A,T98,1999,2005,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.",European Zafira. Tourer is the C-generation market name and must not be merged with the later PSA-based Zafira Life.,"MEGAPARTS lists used parts for Astra, Corsa, Insignia, and Zafira by generation. Opel held about 5.1% of 2025 used registrations and ranked second in the MVR-derived fleet data; Astra and Corsa were specifically identified as common models.",https://www.megaparts.bg/products/avtochasti/opel/gt-cabrio,https://www.pariteni.bg/novini/transport/koi-sa-naj-predpochitanite-marki-koli-u-nas-253893,Opel/Stellantis Media - official model and heritage archive,https://www.media.stellantis.com/em-en/opel,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
opel__zafira__zafira-b__a05,Opel,Zafira,Zafira B,A05,2005,2014,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.",European Zafira. Tourer is the C-generation market name and must not be merged with the later PSA-based Zafira Life.,"MEGAPARTS lists used parts for Astra, Corsa, Insignia, and Zafira by generation. Opel held about 5.1% of 2025 used registrations and ranked second in the MVR-derived fleet data; Astra and Corsa were specifically identified as common models.",https://www.megaparts.bg/products/avtochasti/opel/gt-cabrio,https://www.pariteni.bg/novini/transport/koi-sa-naj-predpochitanite-marki-koli-u-nas-253893,Opel/Stellantis Media - official model and heritage archive,https://www.media.stellantis.com/em-en/opel,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
